datetime,code,open,close,high,low,vol,amount,p_change
2017-2-8,300,3361.78,3383.29,3383.69,3347.43,754028,82869739520,0.52
2017-2-9,300,3381.9,3396.29,3406.59,3379.79,975585,1.02134E+11,0.38
2017-2-10,300,3398.32,3413.49,3422.33,3398.03,1237687,1.21909E+11,0.51
2017-2-13,300,3416.92,3436.27,3439.54,3416.87,1201445,1.25333E+11,0.67
2017-2-14,300,3438.51,3435.8,3440.67,3424.4,948094,98537168896,-0.01
2017-2-15,300,3435.39,3421.71,3448.03,3417.08,1276433,1.24653E+11,-0.41
2017-2-16,300,3421.83,3440.93,3440.93,3418.35,1082769,1.0181E+11,0.56
2017-2-17,300,3443.62,3421.44,3457.56,3419.61,1146000,1.18033E+11,-0.57
2017-2-20,300,3421.64,3471.39,3472.6,3421.64,1326288,1.34682E+11,1.46
2017-2-21,300,3475.06,3482.82,3490.09,3472.02,1148420,1.20675E+11,0.33
2017-2-22,300,3483.2,3489.76,3489.95,3473.52,1028159,1.09232E+11,0.2
2017-2-23,300,3487.57,3473.32,3492.96,3460.12,995363,1.06556E+11,-0.47
2017-2-24,300,3468.96,3473.85,3473.85,3455.25,955351,99875168256,0.02
2017-2-27,300,3471.13,3446.22,3472.84,3441.39,986721,1.06831E+11,-0.8
2017-2-28,300,3445.03,3452.81,3460.91,3441.36,752152,81979310080,0.19
2017-3-1,300,3452.21,3458.44,3472.7,3449.11,1032603,1.09318E+11,0.16
2017-3-2,300,3463.48,3435.1,3468.47,3434,898980,97876189184,-0.67
2017-3-3,300,3424.66,3427.86,3428.88,3412.83,809946,90009616384,-0.21
2017-3-6,300,3427.25,3446.48,3449.03,3425.9,830708,95178547200,0.54
2017-3-7,300,3446.16,3453.96,3454.04,3440.06,803347,94483824640,0.22
2017-3-8,300,3452.2,3448.73,3457.04,3441.26,795876,89124904960,-0.15
2017-3-9,300,3442.9,3426.94,3443.05,3414.68,845703,90090045440,-0.63
2017-3-10,300,3423.98,3427.89,3436.24,3423.94,700162,82161713152,0.03
